Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors
State Bank of India (SBI),onlinesbi.sbi,,23,1,False,4,0,2,0,0,0,0,0,0,0,15,0,False,0,0,0.0,0,False,False,0,False,False,False,2.656564762130954,2.656564762130954,0,0,-1,,http://onlineto.online,Failed tocapture: onlinetoonline,137.50570746527777,"[[254, 254, 254], [152, 152, 152], [30, 30, 30]]",-1.0,87070707070f1f7f,-1,False,,-1,,[]
Airtel,airtel.in,,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.238901256602631,3.238901256602631,0,0,-1,,http://artisteel.org,Failed tocaptule: artisteelorg,124.43912760416667,"[[254, 254, 254], [122, 122, 122], [30, 30, 30]]",-1.0,83070707070f1fff,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.238901256602631,3.238901256602631,0,0,-1,,http://onlinesmp.com,Failed tocapture: onlinesmpcom,137.51927300347222,"[[254, 254, 254], [40, 40, 40], [134, 134, 134]]",-1.0,87070707070f1f7f,-1,False,,-1,,[]
Airtel,airtel.in,103.25.222.11,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,2.913977073182752,2.913977073182752,0,0,-1,,http://arkatel.net,Failed tocapture arkatelnet,118.23713324652778,"[[254, 254, 254], [36, 36, 36], [112, 112, 112]]",-1.0,83070707070f1fff,-1,True,http://arkatel.net/favicon.ico,-1,,[]
Airtel,airtel.in,,20,1,False,5,1,2,0,0,0,0,0,0,0,12,1,False,0,0,0.0,0,False,False,0,False,False,False,3.251629167387823,3.251629167387823,0,0,-1,,http://airtec-t.com,Failed tocapture airtec-tcom,116.51936848958333,"[[254, 254, 254], [33, 33, 33], [126, 126, 126]]",-1.0,83070707070f1fff,-1,False,,-1,,[]
Airtel,airtel.in,,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.521640636343319,3.521640636343319,0,0,-1,,http://airsysteml.com,Failed tocapture airSystemlcom,135.50250217013888,"[[254, 254, 254], [33, 33, 33], [135, 135, 135]]",-1.0,87070707070f1f7f,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,84.32.84.32,35,1,False,4,0,2,0,0,0,0,0,0,0,27,0,False,0,0,0.0,0,False,False,0,False,False,False,3.884155094595805,3.884155094595805,1,1,82,Let's Encrypt,https://onlinezimbrasupportteam.com,"onlinezimbrasupportte am.com yourideas com contact Registered at HOSTINGER If this is your domain; you can manage it in your Hostinger account: Manage domain res Page views 1.934+32% Start your online journey Build your website today Prompt your website Power your projects with VPS Launch your business with WordPress or Chat with Al to build complete website Get full control with dedicated Website Builder using Al tools, templates; with CRM,; booking forms, and more resources: Scale apps, websites, and and reliable hosting: Horizons handles code, design; and copy workloads on secure VPS hosting: so you can launch instantly: Get Web hosting Get VPS hosting Get Horizons Find similar domains Look professional with email Explore available alternatives and secure the domain that works Create business email that matches your domain: Build your best for your brand: brand with professional email address like info_ @onlinezimbrasupportteam com: Type domain you want Search domains Create email",4086.563729443153,"[[245, 246, 254], [102, 48, 55], [145, 121, 191]]",-1.0,ee64949999d2e227,-1,True,https://onlinezimbrasupportteam.com/favicon.ico,-1,,[]
Punjab National Bank (PNB),netpnb.com,15.197.240.20,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.2516291673878226,3.2516291673878226,1,1,109,"GoDaddy.com, Inc.",https://netionbd.com,,0.0,"[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,True,"data:,",-1,,[]
State Bank of India (SBI),onlinesbi.sbi,172.67.190.121,28,1,False,4,0,2,0,0,0,0,0,0,0,20,0,False,0,0,0.0,0,False,False,0,False,False,False,3.6841837197791887,3.6841837197791887,1,1,64,Google Trust Services,https://onlinerushreview.com,Web server is down Error code 521 Visit cloudflare.com for more information: 2026-02-04 06.:12.07 UTC You Marseille onlinerushreview.com Browser Cloudflare Host Working Working Error What happened? What can do? The web server is not returning connection; As result; the If you are visitor of this website: web page is not displaying: Please try in a few minutes_ If you are the owner of this website: Contact your hosting provider letting them know your web server is not responding: Additional troubleshooting information: Clouaflare Ray ID: 9c8803bdOca0989e Your IP: Click to reveal - Performance & security by Cloudflare again,347.1993890078525,"[[233, 233, 233], [254, 254, 254], [144, 141, 132]]",-1.0,ae1bb494116b3f43,-1,True,https://onlinerushreview.com/favicon.ico,-1,,[]
State Bank of India (SBI),sbi.co.in,,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,2.8453509366224368,2.8453509366224368,0,0,-1,,http://5dbwib.bond,Failed tocapture: Sdbwibbond,123.28845920138889,"[[254, 254, 254], [127, 127, 127], [30, 30, 30]]",-1.0,87070707070f1f7f,-1,False,,-1,,[]
