Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors,asn,asn_org,country,region,city
Indian Oil Corporation Limited (IOCL),iocl.com,,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,2.6464393446710157,2.6464393446710157,0,0,-1,,http://bioclc.com,Failed tocapture: bloclccom,112.82084635416666,"[[254, 254, 254], [119, 119, 119], [37, 37, 37]]",-1.0,83070707070f1fff,-1,False,,-1,,[],,,,,
State Bank of India (SBI),onlinesbi.sbi,,29,1,False,4,0,2,0,0,0,0,0,0,0,21,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5585186130489057,3.5585186130489057,0,0,-1,,http://onlinesqlcompiler.org,Failed tocapture: onlinesglcompilerorg,167.3062890625,"[[254, 254, 254], [84, 84, 84], [192, 192, 192]]",-1.0,8707070f0f0f0f3f,-1,False,,-1,,[],,,,,
HDFC Bank,hdfclife.com,,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.321928094887362,3.321928094887362,0,0,-1,,http://hdfm13.top,Failed tocapture: hdimi3.top,122.05468532986112,"[[254, 254, 254], [48, 48, 48], [140, 140, 140]]",-1.0,83070707070f1fff,-1,False,,-1,,[],,,,,
Airtel,airtel.in,,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.584962500721156,3.584962500721156,0,0,-1,,http://augite1.shop,Failed tocapture augite shop,129.36791232638888,"[[254, 254, 254], [40, 40, 40], [139, 139, 139]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],,,,,
State Bank of India (SBI),sbicard.com,172.67.129.76,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.1219280948873624,3.1219280948873624,1,1,56,Google Trust Services,https://scards.fun,SSL handshake failed Error code 525 Visit cloudflare.com for more information: 2026-02-04 10.51.39 UTC You Newark scards fun Browser Cloudflare Host Working Working Error What happened? What can do? Cloudflare is unable to establish an SSL connection to the origin If you're visitor of this website: server: Please try in a few minutes_ If you're the owner of this website: It appears that the SSL configuration used is not compatible with Cloudflare: This could happen for several reasons; including no shared cipher suites. Additional troubleshooting information here: Cloudflare Ray ID: 9c899d350e9a43d5 Your Click to reveal Performance & security by Cloudflare again,278.32974814964354,"[[233, 234, 233], [254, 254, 254], [139, 137, 129]]",-1.0,ae3bb094916b374a,-1,True,https://scards.fun/favicon.ico,-1,,[],13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),sbicard.com,3.33.130.190,23,1,False,4,0,2,0,0,0,0,0,0,0,15,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5068905956085183,3.5068905956085183,1,1,105,"GoDaddy.com, Inc.",https://bitcard.support,,0.0,"[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,False,,-1,,[],16509.0,AMAZON-02,US,,
State Bank of India (SBI),onlinesbi.sbi,,30,1,False,4,0,2,0,0,0,0,0,0,0,22,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5726236638951643,3.5726236638951643,0,0,-1,,http://onlinechasesavings.com,Failed tocapture: onlinechasesavingscom,177.50434027777777,"[[254, 254, 254], [42, 42, 42], [130, 130, 130]]",-1.0,87070f0f0f0f0f1f,-1,False,,-1,,[],,,,,
State Bank of India (SBI),onlinesbi.sbi,172.67.184.139,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.235926350629033,3.235926350629033,1,1,56,Google Trust Services,http://onlinema3c.com,Failed tocapture: onlinema3ccom,140.6632595486111,"[[254, 254, 254], [135, 135, 135], [30, 30, 30]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),onlinesbi.sbi,172.67.144.77,28,1,False,4,0,2,0,0,0,0,0,0,0,20,0,False,0,0,0.0,0,False,False,0,False,False,False,3.746439344671015,3.746439344671015,1,1,56,Google Trust Services,http://online2025sabong.com,"REWARDS FOR NEW USERS 100% Homepage Online sabong link 2025 Experience the Thrill of Online Sabong with Endless Strategic Challenges and Fun. Onlie ezo2gng online2025sabona com Tq2: Unshakable trust and security A diverse gaming experience Dedicated customer support eoreenjoying Challenges faced Online sabong link 2025 J efficient payme nrocecsing is [6ns otde-oderag3 Fighting gaming fraud detection _ urces and tools to help players maintain control Understanding and respecting local culture and services t (Hot GAME Invite person and win 4579 com 2350 Download the app Online sabong link 2025 os de Latest news sabonq com ssabonq.CO online?025sabor ~OneifeolutioncandZozbact of ine Sabong of Online Sabong lopment historv Online sabong link 2025 2018-201"" dice puatior 2020-202- 2022-2023 Online cabong cervices and imnroving the USC deuhniep Variety games to choose Live Casino Board aames ckjack: Play ing Speed Dota 2,an gory of fishing Jyour free time and have the chance to win big: RANDOM BONUS 12 TIMES A DAY Security measures ncryption restricted access and ntion system= Online sabong link 2025 collaborates with renowned game providers : from",2479.374776800774,"[[251, 252, 253], [50, 26, 25], [141, 135, 148]]",-1.0,c54444cc4ceb6eee,-1,True,https://online2025sabong.com/uploads/favicon-32x32.png,"(32, 32)",93386cc3666c9b93,"[[84, 6, 10], [234, 231, 229], [158, 12, 15]]",13335.0,CLOUDFLARENET,,,
State Bank of India (SBI),onlinesbi.sbi,104.21.85.156,34,1,False,4,0,2,0,0,0,0,0,0,0,26,0,False,0,0,0.0,0,False,False,0,False,False,False,3.767183467891461,3.767183467891461,1,1,56,Google Trust Services,https://onlinecasinoportugal.games,"OC OnlineCasinoPortugal Guia Independente Portuga Marcas Comparar FAQ Edicao 2025 PT SRIJ Pontos Chave Filtre facilmente por licenca, pagamento mais. Verifique Casinos Online Confiaveis em sempre os TrCs Portugal Licenciamento verificado Pagamentos locais Na OnlineCasinoPortugal comparamos operadores que servem Portugal, com enfase em licenciamento (SRIJ quando aplicavel) , meios de pagamento (MB Way, Metodologia Multibanco) , suporte a0 cliente ferramentas de jogo responsavel: Avaliacao editorial: licenca, pagamentos, suporte RG Ver Casinos Comparar Agora Independencia Transparencia; de afiliados nao influenciam criterios +18 Apenas para maiores de idade_ FILTRAR Operadores Avaliados OPCOES Licenca 888.pt CasinoPortugal pt 888 Grande biblioteca de jogos 9.4 * CP Foco em PT experiencia 9.2 Qualquer marca experiente simplificada Pagamento Qualquer Licenca Suporte Licenca Suporte Jogos SRIJ Chat a0 vivo email SRIJ Email centro de ajuda Todos Pagamentos Destaques Pagamentos Destaques Ordenar por MB Way, Multibanco_ Interface clara Maior avaliacao cartoes banco promocoes frequentes Multibanco, cartoes, Conteudo local, banco lembretes de jogo (TeC aplicam-se) responsavel Aplicar Repor 2 / 2 mostrados Visitar 888.pt Comparar Visitar CasinoPortugal pt Comparar Comparativo Detalhado Ver SRIJ Marca Licenca Pagamentos Jogos Suporte Avaliacao Acao MB Way, Slots, Ao Chat a0 888.pt SRIJ Multibanco vivo Jogos vivo Visitar Cartao, Banco de mesa email Slots Ao Email Multibanco, CasinoPortugal pt SRIJ vivo Jogos centro de 9.2 Visitar Cartao, Banco de mesa ajuda Notas: Avaliacoes editoriais indicativas. Verifique sempre nas paginas oficiais dos operadores Perguntas Frequentes Estes casinos sao legais em Portugal? Quais sao 0s pagamentos comuns em Portugal? Como avaliam a ""confianca""? Promovem bonus? Jogo Responsavel Defina limites, pausas peca ajuda se necessario jogo pode ser viciante _ SRIJ Jogo Responsavel Obter ajuda Encontre Marcas Comparar FAQ OnlineCasinoPortugal Informacao Este site destina-se adultos (18+). 0 jogo e uma forma de entretenimento. Se sente que pode ter um problema, procure ajuda junto de organizacoes especializadas_ Politique de Confidentialite Politica de Cookies Termos Condicoes Jogo Responsavel +18 GambleAware org SRIJ 2026 OnlineCasinoPortugal. Todos os direitos reservados links faca",2995.4993275239804,"[[250, 250, 250], [32, 40, 39], [183, 152, 89]]",-1.0,b9ad0eb56ab130f0,-1,True,https://onlinecasinoportugal.games/favicon.ico,-1,,[],13335.0,CLOUDFLARENET,,,
