Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
Airtel,airtel.in,airtox.online
Indian Oil Corporation Limited (IOCL),iocl.com,iocl.store
State Bank of India (SBI),onlinesbi.sbi,onlineshoppez.com
Airtel,airtel.in,airetales.com
State Bank of India (SBI),onlinesbi.sbi,online88vi.com
State Bank of India (SBI),onlinesbi.sbi,online-basvur.cfd
State Bank of India (SBI),sbi.co.in,sbicr0.bond
Airtel,airtel.in,airporticeland.com
Airtel,airtel.in,airtite.online
Bank of Baroda (BoB),bobibanking.com,bobobian.com
State Bank of India (SBI),sbicard.com,simcar.pro
State Bank of India (SBI),onlinesbi.sbi,onlinechats.online
State Bank of India (SBI),onlinesbi.sbi,onlinepay.dev
State Bank of India (SBI),onlinesbi.sbi,onlin-zaim.ru
State Bank of India (SBI),onlinesbi.sbi,onlinema3c.com
Airtel,airtel.in,art.gal
ICICI Bank,icicicareers.com,icicidirect.xyz
Bank of Baroda (BoB),bankofbaroda.in,bankofanimals.com
State Bank of India (SBI),sbi.co.in,sbimn.com
State Bank of India (SBI),onlinesbi.sbi,onlineappsandservices.online
State Bank of India (SBI),onlinesbi.sbi,onlineshinestar.com
Airtel,airtel.in,airsysteml.com
Airtel,airtel.in,ate.lat
State Bank of India (SBI),onlinesbi.sbi,onlinecallboyservice.com
Bank of Baroda (BoB),bankofbaroda.in,banka.cfd
HDFC Bank,hdfc.com,h3dc.com
State Bank of India (SBI),onlinesbi.sbi,onlineshophub.com
State Bank of India (SBI),sbi.co.in,5bkii.top
Airtel,airtel.in,airk1t.com
State Bank of India (SBI),onlinesbi.sbi,onlinecloning.com
State Bank of India (SBI),onlinesbi.sbi,onlinemoviez.com
State Bank of India (SBI),sbicard.com,icar.co.id
State Bank of India (SBI),onlinesbi.sbi,onlinewellness.net
State Bank of India (SBI),onlinesbi.sbi,onlineindex.dk
Indian Oil Corporation Limited (IOCL),iocl.com,ipcl.asia
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,cursoria.ca
Airtel,airtel.in,airobot1.com
