Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),onlinesbi.sbi,onlinecasinobonuslist.net
State Bank of India (SBI),sbi.co.in,sb0iuv.bond
State Bank of India (SBI),onlinesbi.sbi,onlinecasinoportugal.games
Airtel,airtel.in,airhunter.org
State Bank of India (SBI),sbi.co.in,sbhidq.info
State Bank of India (SBI),sbi.co.in,5vbir.top
Indian Oil Corporation Limited (IOCL),iocl.com,isocel.com
Bank of Baroda (BoB),bankofbaroda.in,bankofindiabank.com
Airtel,airtel.in,airbattles.com
Punjab National Bank (PNB),netpnb.com,nextspendbase.com
HDFC Bank,hdfclife.com,hdwlife.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,crushorg.com
Indian Oil Corporation Limited (IOCL),iocl.com,idoc.online
State Bank of India (SBI),sbi.co.in,sbionyx.com
Airtel,airtel.in,airatesmy.com
Bank of Baroda (BoB),bobibanking.com,b0binw.bond
State Bank of India (SBI),onlinesbi.sbi,online-iyx.com
ICICI Bank,icicidirect.com,iciid.org
State Bank of India (SBI),onlinesbi.sbi,onlinedata.website
State Bank of India (SBI),onlinesbi.sbi,onlineexhausts.site
Airtel,airtel.in,jarintel.ai
State Bank of India (SBI),onlinesbi.sbi,onlinepublication2025.online
State Bank of India (SBI),onlinesbi.sbi,onlineglass.store
State Bank of India (SBI),sbi.co.in,sbbliq.bond
Bank of Baroda (BoB),bankofbaroda.in,bankfy.xyz
State Bank of India (SBI),sbilife.co.in,simplife.co.uk
Airtel,airtel.in,airelius.live
State Bank of India (SBI),sbilife.co.in,smilifeet.shop
State Bank of India (SBI),onlinesbi.sbi,online-gb.com
State Bank of India (SBI),onlinesbi.sbi,onlineconfirm.help
State Bank of India (SBI),sbi.co.in,5bim15r.bond
Airtel,airtel.in,agiotel.com
State Bank of India (SBI),onlinesbi.sbi,online-osago.ru
Airtel,airtel.in,artisanel.sbs
State Bank of India (SBI),sbi.co.in,sbicapex.com
Airtel,airtel.in,airae.co
State Bank of India (SBI),onlinesbi.sbi,onlinetires.uk
HDFC Bank,hdfc.com,hdgc.club
State Bank of India (SBI),sbi.co.in,sabith.in
HDFC Bank,hdfc.com,hqsd5fch.bond
State Bank of India (SBI),onlinesbi.sbi,onlinepopshop.com
State Bank of India (SBI),onlinesbi.sbi,onlinewellness.net
State Bank of India (SBI),onlinesbi.sbi,online-yepcasino.be
HDFC Bank,hdfc.com,ashdfc.top
State Bank of India (SBI),onlinesbi.sbi,onlinethdesignal.shop
State Bank of India (SBI),sbi.co.in,sbiadmin.co.in
State Bank of India (SBI),onlinesbi.sbi,online-casino-ideal.online
State Bank of India (SBI),sbi.co.in,sbivr.com
State Bank of India (SBI),onlinesbi.sbi,onlineverify.help
State Bank of India (SBI),sbi.co.in,sdbill.store
HDFC Bank,hdfc.com,hdcl.xyz
State Bank of India (SBI),onlinesbi.sbi,onlinemed.pro
Airtel,airtel.in,airebels.in
State Bank of India (SBI),onlinesbi.sbi,online-app.digital
HDFC Bank,hdfcbank.com,dfcbakx.bond
State Bank of India (SBI),sbilife.co.in,symbio4life.org
State Bank of India (SBI),onlinesbi.sbi,onlinecasinoisland.net
HDFC Bank,hdfc.com,hfc.wang
State Bank of India (SBI),onlinesbi.sbi,onlinedatabase4u.com
State Bank of India (SBI),sbilife.co.in,suciolife.com
State Bank of India (SBI),onlinesbi.sbi,online77.click
State Bank of India (SBI),sbi.co.in,5sxbik.sbs
Indian Oil Corporation Limited (IOCL),iocl.com,bioclc.org
Bank of Baroda (BoB),bankofbaroda.in,bankdata.site
