domain_name,domain,Legitimate Domains,Cooresponding CSE,Identified Phishing/Suspected Domain Name
majesticroyals.in,majesticroyals.in,onlinesbi.sbi,State Bank of India (SBI),majesticroyals.in
asingularity.in,asingularity.in,onlinesbi.sbi,State Bank of India (SBI),asingularity.in
healthlightenment.in,healthlightenment.in,onlinesbi.sbi,State Bank of India (SBI),healthlightenment.in
healthlightenment.co.in,healthlightenment.co.in,onlinesbi.sbi,State Bank of India (SBI),healthlightenment.co.in
sparkoverseas.in,sparkoverseas.in,onlinesbi.sbi,State Bank of India (SBI),sparkoverseas.in
rootmetrix.in,rootmetrix.in,onlinesbi.sbi,State Bank of India (SBI),rootmetrix.in
nutrikcal.in,nutrikcal.in,onlinesbi.sbi,State Bank of India (SBI),nutrikcal.in
moaindia.in,moaindia.in,onlinesbi.sbi,State Bank of India (SBI),moaindia.in
agrolinc.in,agrolinc.in,onlinesbi.sbi,State Bank of India (SBI),agrolinc.in
soyum.in,soyum.in,onlinesbi.sbi,State Bank of India (SBI),soyum.in
immigrationconsultant.in,immigrationconsultant.in,onlinesbi.sbi,State Bank of India (SBI),immigrationconsultant.in
bandhanfix.in,bandhanfix.in,onlinesbi.sbi,State Bank of India (SBI),bandhanfix.in
tempa.in,tempa.in,onlinesbi.sbi,State Bank of India (SBI),tempa.in
eazydroptaxi.in,eazydroptaxi.in,onlinesbi.sbi,State Bank of India (SBI),eazydroptaxi.in
nikwin.in,nikwin.in,onlinesbi.sbi,State Bank of India (SBI),nikwin.in
xetasolutions.in,xetasolutions.in,onlinesbi.sbi,State Bank of India (SBI),xetasolutions.in
youcloudai.in,youcloudai.in,onlinesbi.sbi,State Bank of India (SBI),youcloudai.in
thepenthouse.in,thepenthouse.in,onlinesbi.sbi,State Bank of India (SBI),thepenthouse.in
endocon.in,endocon.in,onlinesbi.sbi,State Bank of India (SBI),endocon.in
outbe.in,outbe.in,onlinesbi.sbi,State Bank of India (SBI),outbe.in
